0v31.4
增加了几个新的中文id和诈骗犯
修复了一些id的颜色错误
|
原id,改id,颜色,称号;
AAAAADD,啊门,,;
Artoria_KS,音金大王,random,;
61121905,君愿知,,;
DC_HowMiaoHan,释梦,,;
xiaoyan0213,小言,,;
hqsw,是纱雾鸭,ffcce5,;
mhdsgdsvf,魔法の乐团,,;
SUISUIAN,陈平安,ffff00,;
moyubugan,献祭逆天萌新的运气让摸鱼仔飞升,dd00ff,;
imwaiting,便许倩倩无忧,,;
_QiuFeng_,木叶创立_秋风,,;
qing07,qing07,ffff00,;
Pink,粉红,ffc0cb,;
YZB_KAKAXI,宇智波太土,,;
yanchao,验钞机,,;
qingtianQAQ,晴天,,;
livelhm,璃绪,6a6aff,;
_Aimer_,单相思,ff6699,;
Vendetta_Viper,宝藏第一龟男,,;
_Aya1_,_阿芽_,807AC2,;
AJXYGX,CO,28ff28,;
NanKai,南开,,;
laisdaw,她未婚我想等等,,;
asdawdax,鵺,000000,;
Abandon_Dall,废废废废球,ff69b4,;
Lzqs233,小欣奈,9F88FF,;
Mothao,御梦子,FFFF00,;
_YIYI_,伊伊,ff1cae,;
xiaokd6,小伊,ff44aa,;
qing_jiu_zhe_wen,清酒澈温,,;
Yalooo,台北娜娜,FFC0CB,;
lenglin,冷澪,ffff00,;
mangsemg,枫原万叶,ffd700,;
Rui_,寸寸,aaaaaa,;
Juice_Lucky,曹家二狗,00ff00,;
cheye,彻夜,,;
bilibilionly,流萤,7FFFD4,;
jntothedeep,碧琪,ffe0f5,;
SeriousChenWuji,正经的陈乌鸡,random,;
lbaynaln,鲁布lbaynaln,FFB7C5,;
maomin9527,柚子猫,33FFFF,;
manbomanbo,不见星空,FFFFFF,;
wujiarui,软萌兔兔酱,F0BBFF,;
YZB_KAKAXI,玩偶姐姐,FFC0CB,;
_Gamigo_,Gamigo,00ff00,;
_SuLe_,-Trove第一肝帝-,ffff00,;
wokansannianji,花落,70db93,;
Avang,阿旺,ee82ee,;
